ime,država,zvrst,leto,status
Julie Laughs Nomore,Sweden,"Melodic,Death",1995,2
Heavy Load,Sweden,"Heavy,Power",1976,3
Decapitated,Poland,"Technical,Death,Groove",1996,1
Voivod,Canada,"Thrash,Progressive",1981,1
Sabbat,United Kingdom,Thrash,1985,3
Coroner,Switzerland,"Technical,Thrash",1983,1
Spirit Web,United States,Power,1998,3
Suffocation,United States,"Technical,Death,Brutal",1988,1
Sacred Reich,United States,Thrash,1985,1
Nuclear Assault,United States,Thrash,1984,1
Dismember,Sweden,Death,1988,3
Acheron,United States,"Death,Black",1988,2
Lacuna Coil,Italy,"Alternative,Gothic,Rock",1997,1
Metallica,United States,"Thrash,Heavy,Hard,Rock",1981,1
Dark Angel,United States,Thrash,1983,1
Countess,Netherlands,Black,1992,1
Venom,United Kingdom,"NWOBHM,Black,Speed",1979,1
Stormlord,Italy,"Symphonic,Death,Black,Power",1991,1
Sword,Canada,Heavy,1980,1
Hate Eternal,United States,Death,1997,1
The Crown,Sweden,"Melodic,Thrash,Death",1998,1
Deliverance,United Kingdom,"Heavy,Speed",1986,3
Dark Lunacy,Italy,"Melodic,Symphonic,Death",1997,1
Defleshed,Sweden,"Thrash,Death",1991,3
Havayoth,Sweden,Gothic,2000,2
Hallows Eve,United States,"Thrash,Speed",1983,1
Megadeth,United States,"Thrash,Heavy,Speed,Rock",1983,1
Nile,United States,"Technical,Death,Brutal",1993,1
Annihilator,Canada,"Technical,Thrash,Speed,Groove",1984,1
Death,United States,"Death,Progressive",1984,3
Helstar,United States,"Speed,Power",1981,1
Exhumed,United States,"Grindcore,Death",1990,1
Vader,Poland,"Thrash,Death",1983,1
Darkthrone,Norway,"Heavy,Speed,Death,Black",1987,1
Carpathian Forest,Norway,Black,1992,3
Deicide,United States,Death,1989,1
Amon Amarth,Sweden,"Melodic,Death",1992,1
My Dying Bride,United Kingdom,"Death,Doom,Gothic",1990,1
Nocturnus,United States,Death,1987,3
Sacred Steel,Germany,"Epic,Power",1997,1
Grip Inc.,United States,Groove,1993,3
Destruction,Germany,Thrash,1982,1
Wizard,Germany,"Epic,Power",1989,1
Kreator,Germany,Thrash,1984,1
Demons & Wizards,United States,Power,1997,2
Helloween,Germany,"Speed,Power",1983,1
Valhalla,Austria,"Epic,Speed,Power",1998,3
Insision,Sweden,"Death,Brutal",1997,1
Sentenced,Finland,"Melodic,Death,Gothic",1989,3
Dio,United States,Heavy,1982,3
Theatre of Tragedy,Norway,"Death,Electronica,Industrial,Gothic,Rock,Doom",1993,3
Obituary,United States,Death,1988,1
Kamelot,United States,"Melodic,Power,Progressive",1991,1
Macabre,United States,"Thrash,Grindcore,Death",1984,1
Overkill,United States,"Thrash,Groove",1980,1
Anthrax,United States,"Thrash,Groove,Speed",1981,1
Edguy,Germany,Power,1992,1
Dungeon,Australia,Power,1989,3
Symphony X,United States,"Power,Progressive",1994,1
Exodus,United States,Thrash,1979,1
Pungent Stench,Austria,Death,1988,6
Malevolent Creation,United States,Death,1987,1
Blood Duster,Australia,"Grindcore,Death,Grind",1991,1
Theory in Practice,Sweden,"Technical,Death",1995,1
