ime,država,zvrst,leto,status
Cursed Chaplet,Brazil,"Doom,Black",1992,3
Obscurity Tears,Brazil,Doom,1993,1
Poem's Death,Brazil,Death,1998,1
Clawn,Brazil,"Death,Brutal",1998,3
Kromorth,Brazil,Death,1999,1
Eighteenth Angel,Brazil,Death,2000,1
Warhead,International,Black,2000,3
Regorge,Brazil,Death,2001,1
Deadliness,Brazil,Thrash,1989,1
As Dramatic Homage,Brazil,"Doom,Black,Progressive,Extreme",1999,1
Hecatomic,Brazil,Death,1989,1
Vetor,Brazil,Thrash,2001,1
Land of Tears,Brazil,Death,2000,1
Blasterror,Brazil,"Thrash,Death",2000,3
Maniac Frost and Flames,Brazil,Black,2000,1
Brietal,Brazil,Death,1999,4
id,Brazil,"Thrash,Groove",2000,1
Face It Out,Brazil,Groove,2001,1
Recidivus,Brazil,Death,2001,1
Evil Mayhem,Brazil,"Thrash,Black",2000,3
Mezzula,Brazil,"Thrash,Death",1999,3
Soturnus,Brazil,"Death,Gothic",2000,1
Mindkor,United States,Death,1999,3
Odium,Germany,"Thrash,Power",1993,1
Section 16,United States,Progressive,1999,1
Persecution,Germany,"Death,Gothic",1995,3
Raised Banner,Germany,Power,2000,1
Rottweiller,United States,Heavy,1983,4
Sacrosanctum,Czech Republic,"Doom,Gothic",1997,1
Scathing,Switzerland,Thrash,1999,3
Section A,Denmark,Progressive,2001,1
Septicemia,Austria,"Thrash,Death",1998,3
Mist Enticer,Norway,"Death,Black",1996,3
Flegma,Sweden,"Thrash,Crossover",1987,3
Dust from Misery,Brazil,"Groove,Folk",1994,3
Wotanskrieger,Germany,"Viking,Folk",1997,3
Spellsinger,Germany,Power,1996,3
Stampede,Germany,Progressive,2000,1
Wyrm,Italy,"Epic,Power",1999,3
Stormblade,Germany,"Heavy,Power",2002,4
Svart,Germany,"Melodic,Death",1998,3
The Becoming,Germany,"Heavy,Doom",1997,3
Mordant,Sweden,"Death,Black",1997,1
My Sixth Shadow,Italy,Gothic,1999,4
Necrophiliac,Spain,Death,1988,1
Nefandus,Sweden,Black,1993,1
Veineliis,Germany,Black,2002,1
The Gate,Germany,"Symphonic,Black",1994,5
Ad Noctum,Poland,Black,1998,3
Absurdus,Finland,"Melodic,Death",1992,3
Frozen,Canada,"Progressive,Extreme",2000,3
Amebix,United Kingdom,"Thrash,Punk,Crust",1979,3
Nihili Locus,Italy,"Black,Death,Atmospheric",1991,1
Shadow of Sadness,Brazil,"Melodic,Death",2001,1
Obliterate,Slovakia,"Grindcore,Death",1992,1
Obskure,Brazil,"Melodic,Death",1989,1
Orphan Allies,United States,Power,1982,3
Alone Stale,Brazil,"Death,Doom",1996,1
Shedim,Brazil,Black,1995,1
Rythual,Brazil,Thrash,1999,3
Ossuary,Uruguay,Death,1992,3
Akael,Brazil,"Death,Doom,Gothic",1998,1
Prosapia,Argentina,Death,1997,3
Ilbred,United States,Death,1989,3
RotInjected,Sweden,Death,2000,3
Morthona,United States,"Thrash,Death",1996,3
The Moaning,Sweden,"Melodic,Death,Black",1993,3
Masturbator,Brazil,Death,1987,1
Toxic Inc.,Germany,Heavy,2002,3
Varon,Germany,"Death,Gothic",2000,3
Eternal Sacrifice,Brazil,"Epic,Black",1993,1
Mystical Fullmoon,Brazil,"Black,Pagan",1994,3
Dark Forest,Brazil,Black,2001,3
Voracity,Switzerland,Thrash,1996,3
Warm Up,Spain,Power,1996,1
Grimnir,Austria,Black,2001,1
Dethmute,Singapore,"Thrash,Death",1992,4
Disorder,El Salvador,"Thrash,Death",1994,1
Eyekon,Sweden,Progressive,1998,4
Unlight,Germany,Black,1997,1
Morhogg,Poland,Black,2000,2
God B.C.,Sweden,Thrash,1988,3
Hagal,Germany,Black,1998,2
Helicon,United States,Heavy,1984,3
Hinn Mesta,Norway,Black,1997,3
Human Failure,Sweden,Thrash,2002,5
Ice Age,Sweden,Thrash,1985,1
Isolated,Poland,Death,1995,1
Karnarium,Sweden,Death,1998,3
Raise Cain,Sweden,"Thrash,Groove,Crossover",1991,3
Dustland,Italy,Heavy,2000,1
Namtar,Poland,"Death,Black",1997,3
Malpractice,Norway,Thrash,nan,3
Mask,United States,Progressive,1986,3
Shadegrown,Germany,"Melodic,Death",2001,1
Memnoch,Germany,"Thrash,Death",1997,3
None,Sweden,Thrash,1996,1
Northwind,Greece,Heavy,1981,1
Metadox,Norway,"Thrash,Progressive",1991,3
AsEyeAm,Germany,"Thrash,Death,Black",1998,1
Outrage,Canada,"Thrash,Speed",1983,3
Dr. Steel,Croatia,Heavy,1983,3
Ophis,Germany,"Death,Doom",2001,1
Dispersion,Germany,Death,2001,3
Deivos,Poland,"Technical,Death",1997,1
9th Plague,Sweden,Death,2000,3
Svarrogh,Bulgaria,"Black,Folk,Neofolk",2001,3
Mercury Tide,Germany,"Heavy,Power",2002,1
Hamer,Poland,Thrash,1985,1
Eresia,Italy,"Thrash,Death",1995,1
Black Sun,Greece,"Melodic,Heavy,Power",1993,1
Blade of Spirit,Greece,"Doom,Progressive,Power",1996,1
Astoryas,Germany,Heavy,2002,1
Brainfade,Greece,"Thrash,Heavy",1991,3
Choir Macabre,Greece,"Death,Doom",1998,3
Cortina de Ferro,Brazil,"Melodic,Heavy",nan,3
Denial Price,Greece,Heavy,1986,3
Valpurgisnight,Germany,"Heavy,Power",2001,3
Windfall,Greece,"Speed,Power",1999,1
Hourglass Sands of Eternity,Greece,"Heavy,Power",1996,1
Kinetic,Greece,"Death,Progressive",2002,1
Angelo Perlepes' Mystery,Greece,Heavy,1986,1
Royal Quest,Greece,"Progressive,Power",1998,1
Ecliptic Sunset,Argentina,"Death,Black",1998,1
Prion,Argentina,Death,1994,1
Pixie Killers,Denmark,Thrash,nan,3
Rest in Pain,Germany,Death,1988,3
Blood Freak,United States,"Grindcore,Death",2003,1
Pakeni,Finland,"Grindcore,Death",1992,3
Facelift,Denmark,"Thrash,Death",1996,3
Loud Crowd,Finland,"Speed,Power",1986,3
Phossatery,Brazil,"Thrash,Death",1988,3
Purgatory,Germany,Death,1993,1
Lou Cyfer,Brazil,Death,1989,3
The Breeding,Sweden,Heavy,2002,1
Insurrection,Brazil,Death,1992,3
Divine Death,Brazil,Death,1990,1
Bashful Alley,United Kingdom,NWOBHM,1980,3
Insane,Sweden,"Heavy,Speed",nan,3
Aiming High,Japan,"Melodic,Power",1989,1
Dead End,Netherlands,"Death,Doom",1988,1
Disharmony,Greece,"Death,Black",1991,1
Unit 53,United States,Power,2001,5
Trial,Belgium,"Heavy,Speed",1982,3
Embargo,Germany,"Melodic,Power",1992,3
Green Back,Germany,Heavy,nan,3
Goldsmith,United Kingdom,NWOBHM,1981,3
Arrayan Path,United States,"Epic,Power",1997,1
Utumno,Sweden,Death,1990,3
Eternia,Germany,"Thrash,Power",1997,3
Aasimon,Brazil,Heavy,1996,1
Gorgons Eyes,Germany,"Heavy,Power",1996,1
Abstract Shadows,Brazil,"Heavy,Progressive",1999,1
Dark Nova,Greece,"Heavy,Power",1991,1
Common Grave,Italy,Black,1999,1
Psychic Pawn,United States,Death,1989,3
Negative Reaction,United States,"Sludge,Doom",1990,1
Akilles,Sweden,"Heavy,Doom",1989,3
Predator,Germany,Power,2001,4
New Religion,United States,Thrash,1989,3
Morgue,Sweden,Death,1990,3
Sardotical Scoundrel,Malaysia,"Grindcore,Death,Brutal",nan,3
Herriot,Malaysia,"Melodic,Death",1999,1
Crusade,Indonesia,Black,1996,1
Enthrone Falls,Malaysia,"Melodic,Death",1998,1
Blood Covered,Greece,"Heavy,Thrash",1987,1
Morbifik,Indonesia,"Grindcore,Death,Brutal",1996,3
Ejecucion,Argentina,Doom,1988,3
Raven Black Night,Australia,"Heavy,Epic,Doom",1999,1
Ligeia,Germany,Heavy,1999,3
Betrayer,Indonesia,"Thrash,Death",1991,2
Bilharzia,Malaysia,"Death,Brutal",1995,1
Mournful,Sweden,Death,1995,3
Quercus,Czech Republic,"Funeral,Doom",2001,1
Eczema,Spain,"Death,Black,Doom",1994,1
Angelus Apatrida,Spain,Thrash,2000,1
Ablaze,Japan,"Melodic,Death",2001,4
Detest,Denmark,Death,1990,1
Askalon,Poland,Death,1994,3
Wagchor,Finland,"Melodic,Black",1996,3
Pyramaze,Denmark,Power,2001,1
Spheric Universe Experience,France,Progressive,2002,1
Wrath,Sweden,Black,1995,3
Magica,Romania,"Melodic,Heavy,Power",2002,1
Daminor,Sweden,Black,2001,3
Madryghal,Italy,"Melodic,Speed",1998,1
Beauty and Chaos,United States,"Melodic,Death,Power",1994,3
Imperial Crystalline Entombment,United States,Black,2003,3
Debauchery,United States,"Death,Black",nan,3
Black Cross,Brazil,"Death,Doom",2000,1
Brain Death,Brazil,"Thrash,Death",1989,3
Apocryphal Voice,Finland,Black,1999,1
Brave,Brazil,Power,1998,1
Brutal Factor,Brazil,Thrash,1997,1
CarniÃ§a,Brazil,"Thrash,Death",1991,1
Lord Foul,United States,Black,1993,3
Criteria,Brazil,Thrash,1999,1
Crucifixion BR,Brazil,"Death,Black",1996,1
Cruelty Master,Brazil,Thrash,1992,3
Abhorrent Life,Germany,Death,2000,3
Overload,Switzerland,Heavy,1997,3
Death Slave,Brazil,Heavy,1994,1
Deimos Dream,Brazil,Thrash,1996,3
Desolate Ways,Brazil,Gothic,1998,3
Dying Embers,Brazil,"Death,Doom",1997,3
Seelenfrieden,Germany,Death,1997,3
Vicious Circle,Germany,"Melodic,Black",1997,3
Membaris,Germany,Black,1999,1
Legions of Idimmu,Netherlands,Black,1998,5
Blutmond,Austria,Death,1998,1
Mathyr,Germany,"Death,Black",1999,1
More Than Fear,Germany,Death,2000,3
Forcefield,Netherlands,Speed,1995,3
Dark Heart,United Kingdom,NWOBHM,1983,3
Necropsy,Germany,Death,2001,3
Excalibur,United Kingdom,"Heavy,NWOBHM",1981,3
Repulsive,Switzerland,"Death,Black",1996,3
Heretic,United Kingdom,"NWOBHM,Hard,Rock",nan,3
Sinistral Decay,Germany,"Technical,Thrash,Death",1999,5
Hunter,Germany,Heavy,1983,3
The Final Season,Germany,Gothic,2000,3
Thirtyone Dies,Germany,"Thrash,Death",1999,3
Tothamon,Germany,"Melodic,Death",1996,2
Kaoteon,Lebanon,"Death,Black",1999,1
Tremors,Germany,Death,1994,3
Ironhawk,United States,"Heavy,Power",1981,3
Original Sin,United States,"Speed,Power",1986,3
Ninurta,Brazil,Black,1999,1
Overlord,Canada,"Heavy,Doom",1983,1
Hierarchical Punishment,Brazil,"Grindcore,Death",1994,1
Prestige,Finland,Thrash,1987,1
Solar Eagle,Canada,"Speed,Power",1987,3
Sound Barrier,United States,Heavy,1980,1
Sermon,Russia,Death,1994,2
Underdog,Germany,Heavy,1979,3
Amazarak,France,Black,1997,3
Crucifixion,Germany,Black,1998,3
Hammerhead,Netherlands,Heavy,1983,3
Nightbreath,Brazil,"Death,Brutal",1999,1
Crux Caelifera,Brazil,Black,1996,2
Evokers,Brazil,"Death,Brutal",1997,3
Expantor,Brazil,Thrash,1997,1
Frozen Pain,Brazil,"Death,Doom",1996,1
HelangÃ¥r,Germany,"Heavy,Epic,Power",2001,2
Griefgiver,Brazil,Death,1998,3
Victim,Germany,Death,1993,3
Hybridus,Brazil,"Death,Black",nan,3
Impuro,Brazil,Black,1997,3
In Nomine,Brazil,Death,2001,3
Infamous Glory,Brazil,Death,1999,1
Amok,Switzerland,"Technical,Death",2001,1
Macabra,Brazil,Thrash,1996,3
Circe,France,Death,1999,3
Mindlock,Denmark,Thrash,1994,3
Maximum Pentecost,Brazil,Death,1996,2
Set the Tone,Belgium,"Thrash,Hardcore",1998,1
Helrunar,Germany,"Black,Pagan",2001,1
Nirnaeth Arnoediad,Canada,Black,1997,3
Volfenkreuz,Poland,"Black,Celtic,Pagan",2000,3
Namtaru,United States,Black,1996,4
R.E.T.,Czech Republic,"Doom,Gothic",1989,1
Headmeat,Belgium,"Grindcore,Death,Brutal",1998,1
Long Time Dead,United Kingdom,Thrash,1997,1
Kludde,Belgium,"Sludge,Black",2001,1
Salupa,Uzbekistan,Crossover,2001,1
Kriegsmaschine,Poland,Black,2002,1
Eligor,Russia,Black,1999,4
Emerald Night,Russia,"Melodic,Symphonic,Black",1996,1
Gateward,Belarus,"Doom,Black",1996,3
Great Horn,Ukraine,"Black,Pagan",1996,3
Metal Onslaught,United States,"Thrash,Crossover",1985,5
Mental Picture,Slovenia,Speed,1999,3
Divine Rite,United States,"Heavy,Power",1982,3
Paysage d'Hiver,Switzerland,"Black,Ambient",1997,1
Elite,Norway,Black,2001,2
Black Blood,Finland,Black,2002,3
Baratro,Italy,Death,1990,3
Animal,United States,Heavy,1988,1
Last Breath,Canada,"Heavy,Thrash",1988,4
Lying Truth,Canada,"Thrash,Speed",2000,1
Morbid Pain,Canada,"Death,Black",1995,1
Tribulation,Sweden,"Thrash,Crossover",1987,3
Necropsy Room,Brazil,Death,2003,1
Mis.Divine,Germany,"Thrash,Death,Industrial",1997,3
Nuclear Ravager,Brazil,Death,2000,2
Overnoise,Brazil,Thrash,1990,3
Necropedophagia,Brazil,"Thrash,Death",2001,3
Psychotic Eyes,Brazil,"Death,Progressive",1999,1
Tintagel,Russia,Black,1996,3
Refugium Pecatorum,Brazil,"Heavy,Doom",1995,3
Goatrapist,Australia,Black,2003,3
Sad Theory,Brazil,"Melodic,Death,Progressive",1998,1
Fallen Angels,Germany,Power,1998,3
Firesign,Brazil,Power,nan,3
Scraper Head,Brazil,Thrash,1993,1
Thorgen,France,Heavy,1999,1
The Serpent Kiss,Brazil,"Death,Doom",1999,1
Slug,Brazil,Thrash,1992,1
Inoculation,Brazil,Death,1992,3
Efestos,El Salvador,"Thrash,Grindcore,Death",1996,3
Sepelio,El Salvador,"Thrash,Death",1991,3
Ered,Spain,"Death,Black",1996,1
Absurd Mangler,Germany,"Death,Black",1999,4
Inmost Dense,Germany,"Death,Brutal",1997,3
Mourn in Silence,Italy,"Death,Black,Symphonic,Gothic",1997,1
The Hidden Hand,United States,Stoner,2002,3
Blacklodge,France,"Industrial,Black",1998,1
Voices of Decay,Italy,"Melodic,Death,Black",1997,1
Nocturnal Majesty,Italy,Black,1998,3
Nattvindens GrÃ¥t,Finland,"Doom,Atmospheric",1994,3
The Atmosfear,Germany,"Melodic,Thrash,Death",1995,1
Apprentice Bards,Austria,Black,1998,3
A-Rise,Germany,Death,1999,5
Blutrausch,Germany,"Death,Thrash,Industrial",1999,3
World Destroyer,Norway,"Death,Black",2000,4
Braindead,Switzerland,Thrash,1995,1
Mordgier,United Kingdom,Black,2002,1
Nakkiga,Spain,Black,1999,1
Exorcist,Poland,"Thrash,Speed",1986,1
Ashtar,Brazil,"Folk,Progressive",1997,3
Slashing Death,Poland,"Grindcore,Death",1986,3
Walpurgisnacht,Netherlands,Black,1996,3
Walpurgisnacht,Germany,"Dark,Black,Ambient",1996,3
Majesty,United States,"Thrash,Death",1985,5
Amnesia,Canada,"Technical,Black",1995,5
Augur,Germany,Black,1996,1
Socius,Germany,Black,1994,1
Cursed Anguish,Germany,"Melodic,Black",1999,1
DarkRise,Switzerland,"Death,Brutal",1998,1
Deception,Germany,"Melodic,Thrash,Speed",1995,5
DFP,Germany,Death,1993,1
Detonation,Switzerland,"Heavy,Power",1996,3
Disparaged,Switzerland,Death,1999,1
Valefor,United States,"Dark,Industrial,Ambient",1995,1
Soul Forsaken,Norway,Death,1995,3
Desperate Deed,Germany,Death,2000,4
Endoras,Switzerland,"Symphonic,Power",1997,1
Consecrated,Italy,"Doom,Gothic",1994,3
Sarkastica,Argentina,"Thrash,Crossover",1993,3
Melek Taus,Sweden,Black,1992,3
Draconis,United States,"Death,Black",1995,1
Neolithic,Poland,"Doom,Gothic,Progressive",1991,3
My People's Suicide,Italy,Death,1996,3
Evil Bards,Italy,"Melodic,Death,Gothic",1998,1
Ariadna Project,Argentina,Power,1999,1
Caladbolg,Italy,Black,1996,3
Abyssum,Guatemala,Black,1994,1
Amazeroth,Austria,Black,nan,3
Amenophis Dusk,Uruguay,"Black,Gothic",1998,4
Ancient Summoning,Germany,Black,1994,3
Angel of Light,Brazil,Black,1995,3
Aposento,Spain,Death,1990,1
Vale of Tears,Hungary,"Melodic,Death,Gothic",1997,1
As Prophecies,Brazil,Black,1994,3
Avathar,United Kingdom,Black,1996,3
Sin of Kain,Hungary,"Death,Black",2002,3
Naervaer,Norway,"Neofolk,Ambient",1993,4
Bloodlust,Bangladesh,Death,2000,3
Wrust,Botswana,Death,2000,1
Ad Patres,Moldova,Black,1997,3
Eschata,Austria,"Melodic,Black",1994,3
Freund Hein,Austria,"Melodic,Thrash,Death",1997,3
Hydrophobia,Germany,"Grindcore,Death,Black",1995,5
Lifthrasil,Germany,"Black,Atmospheric",1999,3
Lost Chapter,Switzerland,Death,1994,1
Lost Dreams,Austria,"Melodic,Death",nan,1
Mundo Muerto,Germany,"Thrash,Hardcore,Death",1999,3
Morbid Breed,Austria,Death,2001,3
Moriturus,Austria,"Melodic,Death",1995,3
Apud Inferos,Italy,Black,1995,3
Mosherie,Germany,Death,1998,1
Black Howling,Portugal,Black,2001,1
Mortal Passion,Germany,Thrash,1994,3
Mynedarion,Switzerland,"Grindcore,Death",1999,3
Narcosis,Germany,Death,1997,3
Nyarlathotep,Italy,Black,1998,3
Nyarlathotep,Japan,"Death,Doom",1993,5
Officum,Germany,"Death,Doom,Black",1994,3
Punish,Switzerland,"Technical,Death",1996,1
Pekari,Austria,"Grindcore,Death",1999,3
Plenty Suffering,Austria,"Melodic,Death",1997,1
Nonhumental,Germany,"Death,Black",2001,1
Revenge of Insanity,Germany,"Death,Black",1996,1
Requiem,Portugal,"Death,Doom,Gothic",1996,3
Eyeless,Italy,Black,2001,1
Terrorwheel,Finland,"punk,Speed",2000,2
IR8,International,Thrash,1994,3
Sexoturica,United States,Thrash,1994,3
Sanitarius,United States,Thrash,2002,1
Hellfire,Poland,"Heavy,Thrash",1999,3
Orcish Blood,Russia,"Melodic,Black",1999,3
Shadows Toward My Sky,Germany,Black,1995,3
The Call of the Four Gates,Austria,Black,1992,3
Kolotun,Latvia,"Black,Noisecore",2001,3
StrikeBack,Serbia,Metalcore,2001,4
Ambush,Serbia,Death,2001,1
Pero Defformero,Serbia,Progressive,1993,1
Amaranth,Serbia,"Doom,Gothic",1999,1
Anestezija,Serbia,Thrash,2000,3
Maroth,Serbia,Black,2002,3
The Bloody Earth,Serbia,"Death,Doom",1995,1
Progressor,Bosnia and Herzegovina,"Grindcore,Death",1995,3
Witches' Sabbath,Spain,"Death,Black",1997,1
Secret in Sanity,Germany,Heavy,1999,3
Seed,Germany,"Heavy,Power",1997,3
Dead and Forgotten,Italy,Black,2001,2
Slaveson,Austria,Death,nan,3
Stigmatized,Germany,Death,1995,1
Tamisra,Germany,"Death,Black",1996,1
Untamed,Germany,Metalcore,1994,3
Krhomadeath,France,Death,1988,3
Vingdar,France,Black,1999,1
XIV Dark Centuries,Germany,Pagan,1998,1
Vargsriket,Austria,Black,1995,1
Vampire,Germany,"Melodic,Thrash,Death",1996,3
Veritas Mentis,Austria,Black,1998,1
Weyland,Germany,"Melodic,Death,Black",1999,1
Witchtower,Germany,"Thrash,Death",1998,1
Zahgurim,Germany,Black,2000,3
Darkdayrising,Netherlands,"Thrash,Death,Black,Brutal",1999,3
Meat Yard,New Zealand,"Grindcore,Death,Brutal",1998,1
Grinning Ghoul,Belgium,Death,1991,1
Troglodyte Dawn,United States,"Doom,Ambient,Rock",1995,1
Thy Soul Devoured,South Africa,Black,1999,3
Jesusatan,Croatia,"Grindcore,Death",1998,1
Sabbatical Rites,Greece,Black,1999,1
Tendencia,Cuba,"Metalcore,Groove",1993,1
Senescence,Germany,Doom,1995,1
Tharsys,Germany,Gothic,1999,1
Totenreich,Germany,Black,2000,3
Scion,Germany,"Melodic,Death,Gothic",1993,3
Lacrimal Goddess,Germany,Heavy,2005,3
Shorts and Churchbells,Switzerland,"Thrash,Death",1999,3
Silent Dreams,Germany,Metalcore,2000,3
Sirens,Germany,"Heavy,Power",1995,1
Soulcut,Germany,Death,2000,1
Stormcrow,Italy,Black,1997,1
Sylph,Japan,"Black,Death,Gothic",2001,4
Lifthrasireon,Germany,"Black,Folk",nan,1
Rebel Souls,Germany,"Death,Black",2000,1
Refractory,Germany,Black,1997,3
Abwhore,United States,"Gothic,Blackened",1996,3
Nekro Vinterstrom,United States,Black,2003,3
Mordacum,Australia,Black,nan,3
Path of Golconda,Germany,"Melodic,Death,Black",1999,3
Painful Death,Germany,Thrash,1992,1
Pangea,Germany,Death,2000,3
Profanation,Germany,"Grindcore,Death",1997,1
Berzemon,Poland,"Symphonic,Black",nan,3
Orlog,Germany,Black,2000,1
Outrage,Austria,Death,2000,1
Nebelmacht,Germany,Black,1999,3
Nordvykk,Germany,"Melodic,Black",2002,1
Krigar,Switzerland,Black,2001,3
Blackgod,France,Black,1998,4
Marooned,Switzerland,"Thrash,Death",nan,4
Manus Mortis,Germany,Black,2001,1
Megalith,Germany,"Thrash,Death",1998,1
Devilish Era,France,Black,1998,3
Mesentery,Germany,Death,1992,1
Zaghurim,France,"Industrial,Black,Ambient",2001,1
Moder,Germany,"Death,Black,Doom",2001,3
Krazumpath,France,"Thrash,Black",2003,1
Mydgard,Spain,Black,2000,3
Zarach 'Baal' Tharagh,France,"Noise,Black,Ambient",2000,2
Skuld,Switzerland,Black,2002,3
Viszeral,Germany,Black,2002,3
Ulysses,Netherlands,Progressive,1998,1
Twilight Symphony,United States,"Symphonic,Progressive",2000,1
Suffereign,France,"Death,Brutal",2000,2
Insane,France,Heavy,1997,3
Bleeding Aura,France,"Grindcore,Death,Brutal",2001,3
Gigandhi,Denmark,"Tribal,Industrial",1991,3
Vomit the Soul,Italy,"Death,Brutal",2000,3
Necrofurya,France,Black,2000,1
Armagedon,Peru,Heavy,1987,1
Solid,Thailand,"Melodic,Death",2000,4
Forests of Sorcerous,Thailand,Black,nan,4
Marauder,United States,Speed,1982,3
August Redmoon,United States,Heavy,1980,1
Battlerage,Chile,Heavy,2002,1
Monolithe,France,"Funeral,Doom",2001,1
Vultos Vociferos,Brazil,Black,1999,1
Trampled Underfoot,United States,"Progressive,Power",1994,2
Black Sheep,United States,Heavy,1981,3
Humanicide,United States,"Crust,Black",2000,1
Mordium,United States,Black,nan,1
Allison Gross,Russia,"Death,Black",1995,4
Nokturnal Summoner,Canada,Black,2002,1
Hiems,Italy,Black,1997,1
Kadaverficker,Germany,"Sludge,Grindcore,Death",1993,1
Legende,Austria,Black,2000,2
Legions Descend,Austria,"Thrash,Death",1998,1
Luna Field,Germany,"Death,Black",1998,3
Shatterwrath,Australia,"Melodic,Death",2001,1
Indolenz,Germany,Black,1999,1
INRI,Netherlands,"Melodic,Black",1999,5
Intestines,Germany,"Grindcore,Death",nan,3
Human Pesticide,Austria,Death,2001,3
Glondemir,Germany,"Melodic,Death",2001,3
Goblin Spell,Germany,Black,1998,3
Attila,United States,Heavy,1983,3
Blacklace,United States,Heavy,1982,1
Faces of Fear,Germany,Black,1997,1
Festering Saliva,Germany,Death,1998,1
Flag of Decay,Germany,"Thrash,Death",2000,3
Kemet,France,"Doom,Gothic",1997,4
Flesh Divine,France,"Thrash,Death",1999,3
Rellik,United States,Heavy,1983,3
Mournful Gust,Ukraine,"Death,Doom",1999,1
Zombie Holocaust,Hungary,"Grindcore,Death",1991,2
Enigmatik,Switzerland,"Death,Black",1996,1
Daemonolatria,Germany,"Melodic,Black",1995,5
Mastermind,Japan,"Melodic,Power",1995,1
Defloration,Germany,"Death,Brutal",2001,1
Darkspace,Switzerland,"Black,Atmospheric,Ambient",1999,1
Aird Righ,Germany,"Death,Black",1995,3
Ambassador of Anguish,Germany,Black,1997,3
Ametropie,Germany,"Melodic,Black",1994,3
Avian,Germany,Heavy,2000,3
Chimaera,Germany,Power,1999,1
Mystery Blue,France,Heavy,1978,1
Armagedom,Brazil,"Thrash,Death,Crossover",1982,1
Seasons in Black,Germany,"Death,Black",1996,1
Pecatorium,Brazil,Black,2000,3
Dawnsight,Germany,Power,2001,3
Deathtiny,Germany,"Death,Black,Classical",2001,1
Benighted,Sweden,Black,2001,1
WTN,Singapore,"Grindcore,Death",1998,3
L.A.,Denmark,Heavy,nan,3
Molested Senses,United States,Death,1990,1
Pure Innocence,Denmark,Heavy,nan,3
Shotgun Wedding,Denmark,Heavy,nan,3
Shylock,Denmark,Heavy,nan,3
Sinister,Denmark,Thrash,1990,5
Kim Sixx,Denmark,Heavy,1984,3
Omega Crom,Canada,"Thrash,Power",2002,1
Spiked Mace,Denmark,Heavy,nan,3
Sigma 5,Brazil,"Progressive,Rock",1995,1
Bathym,United States,"Death,Black",1989,4
BelÃ«f,France,Black,1996,4
Bestial Wrath,Greece,Black,1992,3
Brandpest,Denmark,Black,1996,1
Bundeswehra,Poland,"Thrash,Death,Black",1988,3
Chimaera,Brazil,Progressive,1999,3
Toxik Karizma,Denmark,Heavy,nan,3
Wai Dee Zai,Denmark,Heavy,1988,3
Vicious Aroma,Denmark,Heavy,nan,3
Eminent Shadow,Brazil,Death,1994,1
Rotten Penetration,Brazil,Death,2002,1
ApÃ³crifus,Brazil,Black,1997,3
Ares Wrath Division,Brazil,Black,2002,2
Arkanus ad Noctum,Brazil,Black,2002,1
Woundeep,Japan,"Death,Brutal",2003,3
Dekadenz,Germany,"Death,Gothic",1998,1
Draemoontias,Switzerland,Black,1996,3
The Chosen,Netherlands,"Thrash,Death,Blackened",2000,4
The Cranium,Switzerland,"Technical,Death",1993,1
Crysalis,Germany,"Black,Gothic",1999,1
Creeping Vengeance,Switzerland,"Thrash,Death",1999,3
Betrayed,Germany,"Death,Black",2001,1
Bodai 39 Crew,Germany,"Thrash,Death",1995,4
Bloody Passion,Germany,Black,1998,3
Brutal God,Switzerland,"Death,Brutal",1999,1
Hyems,Germany,"Melodic,Black",2000,1
Age of Distrust,Germany,"Thrash,Death",1996,3
Akantophis,Germany,Black,1999,3
Arsenic,Switzerland,"Thrash,Death",2002,1
Atritas,Switzerland,"Symphonic,Black",1997,3
Avion,Germany,"Melodic,Death",1995,3
Via Mistica,Poland,"Doom,Gothic",1998,4
Inch,Germany,"Thrash,Death",1996,3
Wadgelmir,Germany,"Viking,Black",1997,3
Katharsis 666,Poland,Black,1997,1
Red Noxious,Germany,"Thrash,Death",1998,3
Necrowinter,Germany,Black,2001,3
Necrorgasm,Germany,"Sludge,Drone",2000,1
Kruschke,Germany,Death,1998,3
Fallen Saints,Germany,Death,1999,1
Adultery,Czech Republic,"Black,Folk",1995,3
IV Luna,Italy,"Progressive,Rock",1994,1
Azrael,United States,Black,1999,1
Descending Darkness,Austria,Black,1998,1
Lecherous Nocturne,United States,"Technical,Death,Brutal",1997,1
Diatribe,Russia,"Melodic,Death",1999,4
Krig,Germany,Black,1996,3
Persophone,Germany,Black,1992,3
Deadlock,Germany,Thrash,2000,3
Enthrallment,Germany,Death,1995,3
Final Tragedy,France,Progressive,1996,1
Gezeiten,Switzerland,"Melodic,Death",1993,3
Eizo Sakamoto,Japan,Heavy,1998,1
Insult II Injury,United States,"Thrash,Groove",1992,3
Mike Terrana,United States,"Fusion,Jazz,Progressive,Rock",1999,1
Etheric Soul,France,"Thrash,Speed",1989,3
Mystic,France,"Thrash,Speed",1988,3
Legion,Honduras,Death,2002,1
Takashi,United States,Heavy,1982,1
La Brigada,Chile,"Grindcore,Death",2002,1
Nocturna,Italy,"Heavy,Power",1995,4
Frozen,United States,Progressive,1998,3
Raspatul,Singapore,"Thrash,Death",1996,1
Tormention,United States,"Thrash,Death",2001,3
XIII Candles,Colombia,"Death,Black",1995,3
Ulf Reich,Colombia,"Death,Progressive",1996,3
Torso,Colombia,Death,1996,3
Spiritual Invader,Colombia,Death,2000,1
Soulburner,Colombia,Death,1998,1
