ime,drz,zvrst,leto,status
Hatebreed,United States,Metalcore,1994,Active
Slipknot,United States,Nu Metal,1995,Active
Korn,United States,Nu Metal/Groove Metal/Industrial Metal,1993,Active
Biohazard,United States,Crossover Thrash,1987,Active
Limp Bizkit,United States,Nu Metal,1994,Active
Between the Buried and Me,United States,Progressive Metal,2000,Active
Rammstein,Germany,Industrial Metal,1994,Active
Bullet for My Valentine,United Kingdom,Metalcore,1993,Active
Converge,United States,Mathcore,1990,Active
Skindred,United Kingdom,Reggae Metal/Nu Metal,1998,Active
Five Finger Death Punch,United States,Groove Metal,2005,Active
System of a Down,Armenia,Nu Metal/Progressive Metal/Art Rock,1994,Active
Drowning Pool,United States,Alternative Metal/Post-Grunge,1996,Active
TesseracT,United States,Progressive Metal/Djent,2003,Active
Jeff Killed John,United Kingdom,Nu Metal,1998,Changed name
Brawl,United States,Nu Metal,1994,Changed name
Amorphis,Finland,"Progressive/Death/Doom Metal (early), Melodic Heavy Metal/Rock (later)",1990,Active
Blind Guardian,Germany,"Speed Metal (early), Power Metal (later)",1986,Active
Iced Earth,United States,Power/Thrash Metal,1988,Active
Katatonia,Sweden,"Doom/Death Metal (early), Depressive Rock/Metal (later)",1991,Active
Entombed,Sweden,Death Metal/Death 'n' Roll,1989,Active
Dark Tranquillity,Sweden,Melodic Death Metal,1991,Active
Darkane,Sweden,Melodic Death/Thrash Metal,1998,Active
Arch Enemy,Sweden,Melodic Death Metal,1995,Active
In Flames,Sweden,"Melodic Death Metal (early), Melodic Groove Metal/Alternative Rock (later)",1990,Active
Bal-Sagoth,United Kingdom,Symphonic/Epic Black Metal,1989,On hold
Spiritual Beggars,Sweden,"Hard Rock, Stoner Rock/Metal",1992,Active
Carcass,United Kingdom,"Goregrind/Grindcore (early), Melodic Death Metal/Death 'n' Roll (later)",1986,Active
Dan Swan̦,Sweden,Progressive Death  Metal,1998,Active
Maudlin of the Well,United States,Avant-garde Progressive Metal,1996,Unknown
